,economy,measure,vehicle_type,medium,transport_type,scenario,unit,date,fuel,frequency,unit.1,scope,comment,dataset,drive,value
25,07_INA,stocks,2w,road,passenger,,stocks,2015,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
26,07_INA,stocks,2w,road,passenger,,stocks,2016,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
27,07_INA,stocks,2w,road,passenger,,stocks,2017,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
28,07_INA,stocks,2w,road,passenger,,stocks,2018,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
29,07_INA,stocks,2w,road,passenger,,stocks,2019,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
30,07_INA,stocks,2w,road,passenger,,stocks,2020,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
31,07_INA,stocks,bus,road,passenger,,stocks,1990,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
32,07_INA,stocks,bus,road,passenger,,stocks,1991,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
33,07_INA,stocks,bus,road,passenger,,stocks,1992,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
34,07_INA,stocks,bus,road,passenger,,stocks,1993,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
35,07_INA,stocks,bus,road,passenger,,stocks,1994,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
36,07_INA,stocks,bus,road,passenger,,stocks,1995,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
37,07_INA,stocks,bus,road,passenger,,stocks,1996,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
38,07_INA,stocks,bus,road,passenger,,stocks,1997,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
39,07_INA,stocks,bus,road,passenger,,stocks,1998,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
40,07_INA,stocks,bus,road,passenger,,stocks,1999,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
41,07_INA,stocks,bus,road,passenger,,stocks,2000,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
42,07_INA,stocks,bus,road,passenger,,stocks,2001,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
43,07_INA,stocks,bus,road,passenger,,stocks,2002,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
44,07_INA,stocks,bus,road,passenger,,stocks,2003,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
45,07_INA,stocks,bus,road,passenger,,stocks,2004,all,yearly,,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
