Year,Economy,Scenario,Transport Type,Vehicle Type,Drive,New_vehicle_efficiency
2039,01_AUS,Reference,freight,ht,d,0.122114518479469
2040,01_AUS,Reference,freight,ht,d,0.122114518479469
2041,01_AUS,Reference,freight,ht,d,0.122114518479469
2042,01_AUS,Reference,freight,ht,d,0.122114518479469
2043,01_AUS,Reference,freight,ht,d,0.122114518479469
2044,01_AUS,Reference,freight,ht,d,0.122114518479469
2045,01_AUS,Reference,freight,ht,d,0.122114518479469
2046,01_AUS,Reference,freight,ht,d,0.122114518479469
2047,01_AUS,Reference,freight,ht,d,0.122114518479469
2048,01_AUS,Reference,freight,ht,d,0.122114518479469
2049,01_AUS,Reference,freight,ht,d,0.122114518479469
2050,01_AUS,Reference,freight,ht,d,0.122114518479469
2018,01_AUS,Reference,freight,ht,fcev,0.160732331685238
2019,01_AUS,Reference,freight,ht,fcev,0.161215979624111
2020,01_AUS,Reference,freight,ht,fcev,0.161701082872729
2021,01_AUS,Reference,freight,ht,fcev,0.161943998871035
2022,01_AUS,Reference,freight,ht,fcev,0.162187279790722
2023,01_AUS,Reference,freight,ht,fcev,0.162430926179991
2024,01_AUS,Reference,freight,ht,fcev,0.162674938587873
2025,01_AUS,Reference,freight,ht,fcev,0.16291931756422
2026,01_AUS,Reference,freight,ht,fcev,0.163164063659709
2027,01_AUS,Reference,freight,ht,fcev,0.163409177425848
2028,01_AUS,Reference,freight,ht,fcev,0.16365465941497
2029,01_AUS,Reference,freight,ht,fcev,0.163900510180241
2030,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2031,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2032,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2033,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2034,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2035,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2036,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2037,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2038,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2039,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2040,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2041,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2042,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2043,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2044,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2045,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2046,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2047,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2048,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2049,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2050,01_AUS,Reference,freight,ht,fcev,0.164146730275654
2018,01_AUS,Reference,freight,ht,g,0.119393432433623
2019,01_AUS,Reference,freight,ht,g,0.120599426700629
2020,01_AUS,Reference,freight,ht,g,0.121817602727908
2021,01_AUS,Reference,freight,ht,g,0.122429751485335
2022,01_AUS,Reference,freight,ht,g,0.123044976367171
2023,01_AUS,Reference,freight,ht,g,0.123663292831327
2024,01_AUS,Reference,freight,ht,g,0.124284716413394
2025,01_AUS,Reference,freight,ht,g,0.124909262727029
2026,01_AUS,Reference,freight,ht,g,0.125536947464351
2027,01_AUS,Reference,freight,ht,g,0.126167786396333
2028,01_AUS,Reference,freight,ht,g,0.126801795373199
2029,01_AUS,Reference,freight,ht,g,0.127438990324823
2030,01_AUS,Reference,freight,ht,g,0.128079387261129
2031,01_AUS,Reference,freight,ht,g,0.128079387261129
2032,01_AUS,Reference,freight,ht,g,0.128079387261129
2033,01_AUS,Reference,freight,ht,g,0.128079387261129
2034,01_AUS,Reference,freight,ht,g,0.128079387261129
2035,01_AUS,Reference,freight,ht,g,0.128079387261129
2036,01_AUS,Reference,freight,ht,g,0.128079387261129
2037,01_AUS,Reference,freight,ht,g,0.128079387261129
2038,01_AUS,Reference,freight,ht,g,0.128079387261129
2039,01_AUS,Reference,freight,ht,g,0.128079387261129
2040,01_AUS,Reference,freight,ht,g,0.128079387261129
2041,01_AUS,Reference,freight,ht,g,0.128079387261129
2042,01_AUS,Reference,freight,ht,g,0.128079387261129
2043,01_AUS,Reference,freight,ht,g,0.128079387261129
2044,01_AUS,Reference,freight,ht,g,0.128079387261129
2045,01_AUS,Reference,freight,ht,g,0.128079387261129
2046,01_AUS,Reference,freight,ht,g,0.128079387261129
2047,01_AUS,Reference,freight,ht,g,0.128079387261129
2048,01_AUS,Reference,freight,ht,g,0.128079387261129
2049,01_AUS,Reference,freight,ht,g,0.128079387261129
2050,01_AUS,Reference,freight,ht,g,0.128079387261129
2018,01_AUS,Reference,freight,ht,lpg,0.0788075461608074
2019,01_AUS,Reference,freight,ht,lpg,0.0796035819806135
2020,01_AUS,Reference,freight,ht,lpg,0.0804076585662763
2021,01_AUS,Reference,freight,ht,lpg,0.0808117171520365
2022,01_AUS,Reference,freight,ht,lpg,0.0812178061829512
2023,01_AUS,Reference,freight,ht,lpg,0.0816259358622625
2024,01_AUS,Reference,freight,ht,lpg,0.082036116444485
2025,01_AUS,Reference,freight,ht,lpg,0.0824483582356633
2026,01_AUS,Reference,freight,ht,lpg,0.0828626715936314
2027,01_AUS,Reference,freight,ht,lpg,0.0832790669282728
2028,01_AUS,Reference,freight,ht,lpg,0.0836975547017817
2029,01_AUS,Reference,freight,ht,lpg,0.0841181454289263
2030,01_AUS,Reference,freight,ht,lpg,0.0845408496773129
2031,01_AUS,Reference,freight,ht,lpg,0.0845408496773129
2032,01_AUS,Reference,freight,ht,lpg,0.0845408496773129
2033,01_AUS,Reference,freight,ht,lpg,0.0845408496773129
2034,01_AUS,Reference,freight,ht,lpg,0.0845408496773129
2035,01_AUS,Reference,freight,ht,lpg,0.0845408496773129
2036,01_AUS,Reference,freight,ht,lpg,0.0845408496773129
