transport_type,vehicle_sub_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,21_VN,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,21_VN,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,bev,01_AUS,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,fcev,01_AUS,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,ice,01_AUS,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,phev,01_AUS,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,cng,01_AUS,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,lpg,01_AUS,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,bev,02_BD,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,fcev,02_BD,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,ice,02_BD,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,phev,02_BD,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,cng,02_BD,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,lpg,02_BD,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,bev,03_CDA,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,fcev,03_CDA,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,ice,03_CDA,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,phev,03_CDA,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,cng,03_CDA,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,lpg,03_CDA,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,bev,04_CHL,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,fcev,04_CHL,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,ice,04_CHL,Yearly
freight,urban,ht,mileage,road,national,2019-12-31,Mileage,18717.5,phev,04_CHL,Yearly
