transport_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,09_ROK,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,09_ROK,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,09_ROK,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,10_MAS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,10_MAS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,10_MAS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,10_MAS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,10_MAS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,10_MAS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,10_MAS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,10_MAS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,11_MEX,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,11_MEX,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,11_MEX,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,11_MEX,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,11_MEX,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,11_MEX,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,11_MEX,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,11_MEX,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,12_NZ,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,12_NZ,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,12_NZ,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,12_NZ,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,12_NZ,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,12_NZ,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,12_NZ,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,12_NZ,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,13_PNG,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,13_PNG,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,13_PNG,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,13_PNG,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,13_PNG,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,13_PNG,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,13_PNG,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,13_PNG,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,14_PE,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,14_PE,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,14_PE,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,14_PE,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,14_PE,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,14_PE,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,14_PE,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,14_PE,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,15_RP,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,15_RP,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,15_RP,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,15_RP,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,15_RP,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,15_RP,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,15_RP,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,15_RP,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,16_RUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,16_RUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,16_RUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,16_RUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,16_RUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,16_RUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,16_RUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,16_RUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,17_SIN,Yearly
