,Date,Economy,Measure,Vehicle Type,Unit,Medium,Transport Type,Drive,Fuel_Type,Frequency,Scope,level_0,index,Final_dataset_selection_method,Value,Dataset
159,2013-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,3539.0,not enough values to interpolate,,
160,2014-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,4716.0,not enough values to interpolate,,
161,2015-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,5893.0,not enough values to interpolate,,
162,2016-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,7070.0,not enough values to interpolate,,
163,2017-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,8247.0,Manual,2.0289186823246723,Energy_non_road_est $ EGEDA/8th_ref
164,2018-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,9424.0,not enough values to interpolate,,
165,2019-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,10601.0,not enough values to interpolate,,
166,2020-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,11778.0,not enough values to interpolate,,
167,2021-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,12955.0,not enough values to interpolate,,
168,2010-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,9.0,not enough values to interpolate,,
169,2011-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,1186.0,not enough values to interpolate,,
170,2012-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,2363.0,not enough values to interpolate,,
171,2013-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,3540.0,not enough values to interpolate,,
172,2014-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,4717.0,not enough values to interpolate,,
173,2015-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,5894.0,not enough values to interpolate,,
174,2016-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,7071.0,not enough values to interpolate,,
