,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,dataset,value,dataset_selection_method,comment
88,2016,03_CDA,energy,ldv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),196447651.6453397,Manual,no_comment
89,2016,03_CDA,passenger_km,ldv,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),2.2444256211357395e+17,Manual,no_comment
90,2017,03_CDA,energy,ldv,pj,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,estimated $ calculate_energy_and_passenger_km(),311305311.4781101,Manual,no_comment
91,2017,03_CDA,passenger_km,ldv,passenger_km,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,estimated $ calculate_energy_and_passenger_km(),3.556680933699964e+17,Manual,no_comment
92,2018,03_CDA,energy,ldv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),609963708.1635565,Manual,no_comment
93,2018,03_CDA,passenger_km,ldv,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),6.96887014478967e+17,Manual,no_comment
94,2019,03_CDA,energy,ldv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),1037021579.7493287,Manual,no_comment
95,2019,03_CDA,passenger_km,ldv,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),1.1848030677720082e+18,Manual,no_comment
96,2020,03_CDA,energy,ldv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),1680276535.747026,Manual,no_comment
97,2020,03_CDA,passenger_km,ldv,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),1.9197255227221202e+18,Manual,no_comment
