Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Fuel_Type,Comments,Fuel
road,freight,ht,lpg,2017-12-31,20_USA,Yearly,Stocks,Stocks,5369.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,20_USA,Yearly,Stocks,Stocks,21634.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,20_USA,Yearly,Stocks,Stocks,8654389.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,20_USA,Yearly,Stocks,Stocks,408.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,20_USA,Yearly,Stocks,Stocks,40884.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,20_USA,Yearly,Stocks,Stocks,383497.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,20_USA,Yearly,Stocks,Stocks,25325.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,20_USA,Yearly,Stocks,Stocks,409.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,phevd,2017-12-31,20_USA,Yearly,Stocks,Stocks,407.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,21_VN,Yearly,Stocks,Stocks,916785.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,21_VN,Yearly,Stocks,Stocks,9260.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,21_VN,Yearly,Stocks,Stocks,28328.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,21_VN,Yearly,Stocks,Stocks,59620645.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,21_VN,Yearly,Stocks,Stocks,253.00000000000003,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,21_VN,Yearly,Stocks,Stocks,94784.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,21_VN,Yearly,Stocks,Stocks,169972.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,21_VN,Yearly,Stocks,Stocks,253.00000000000003,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,01_AUS,Yearly,Energy,PJ,16.890424410802993,8th edition transport model $ Reference,National,,,
air,passenger,,,2017-12-31,01_AUS,Yearly,Energy,PJ,112.838578441197,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,01_AUS,Yearly,Energy,PJ,0.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,01_AUS,Yearly,Energy,PJ,0.000211180407022,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,01_AUS,Yearly,Energy,PJ,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,01_AUS,Yearly,Energy,PJ,0.0370362196557059,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,01_AUS,Yearly,Energy,PJ,0.0015168735021018,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,01_AUS,Yearly,Energy,PJ,280.1977220629146,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,01_AUS,Yearly,Energy,PJ,9.894477196698402,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,01_AUS,Yearly,Energy,PJ,0.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,fcev,2017-12-31,01_AUS,Yearly,Energy,PJ,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,01_AUS,Yearly,Energy,PJ,11.837409840806965,8th edition transport model $ Reference,National,,,
