Economy,Scenario,Transport Type,Year,Vehicle Type,Drive,Value
06_HKC,Reference,passenger,2017,lt,g,0.01212174076669684
07_INA,Reference,freight,2017,ht,d,0.35502932798867903
06_HKC,Reference,freight,2017,lt,bev,0.04403940178313295
06_HKC,Reference,freight,2017,lt,cng,0.0
06_HKC,Reference,freight,2017,lt,d,0.6745038826572696
06_HKC,Reference,freight,2017,lt,fcev,0.0
06_HKC,Reference,freight,2017,lt,g,0.03145671555938068
06_HKC,Reference,freight,2017,lt,lpg,0.0
06_HKC,Reference,freight,2017,lt,phevg,0.0
06_HKC,Reference,passenger,2017,2w,bev,0.2500221134559082
06_HKC,Reference,passenger,2017,lt,lpg,0.0010835593820026058
