Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Comments,Fuel,Source
road,passenger,ldv,cng,2017-12-31,15_RP,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,fcev,2017-12-31,16_RUS,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,17_SIN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,18_CT,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,21_VN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,freight,ht,cng,2017-12-31,01_AUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,01_AUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,01_AUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,01_AUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,02_BD,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,02_BD,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,03_CDA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,03_CDA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,03_CDA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,03_CDA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,04_CHL,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,04_CHL,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,05_PRC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,05_PRC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,05_PRC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
