,economy,date,medium,measure,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,dataset,drive,value
19329,17_SIN,1994,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,112.4411038526735
19330,17_SIN,1995,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,115.20013339004353
19331,17_SIN,1996,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,117.37110455795899
19332,17_SIN,1997,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,119.37000182799424
19333,17_SIN,1998,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,117.82133674707265
19334,17_SIN,1999,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,116.50321727690313
19335,17_SIN,2000,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,112.56305913952062
19336,17_SIN,2001,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,114.56863889102696
19337,17_SIN,2002,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,113.56125480926242
19338,17_SIN,2003,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,113.0450331156219
19339,17_SIN,2004,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,114.70145321026457
