,date,vehicle_type,measure,transport_type,frequency,medium,unit,fuel,economy,scope,comment,dataset,drive,value
3780,2015,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3781,2016,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3782,2017,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3783,2018,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3784,2019,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3785,2020,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3786,2021,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3787,2022,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3788,2023,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3789,2010,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3790,2011,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3791,2012,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3792,2013,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3793,2014,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3794,2015,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3795,2016,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3796,2017,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3797,2018,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3798,2019,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3799,2020,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
